"x"
"ST3GAL1"
"ST3GAL6"
"CTSA"
"ST6GALNAC1"
"ST6GALNAC2"
"ST6GAL1"
"NANS"
"ST8SIA5"
"ST3GAL4"
"CMAS"
"ST8SIA1"
"ST8SIA4"
"NEU2"
"ST3GAL5"
"ST6GALNAC5"
"SLC17A5"
"C20orf173"
"ST3GAL3"
"NPL"
"ST6GALNAC4"
"ST8SIA2"
"ST6GAL2"
"ST8SIA6"
"ST3GAL2"
"GNE"
"ST6GALNAC6"
"NEU3"
"SLC35A1"
"NANP"
"GLB1"
"ST8SIA3"
"ST6GALNAC3"
"NEU4"
"NEU1"
