"x"
"ICA1"
"CD38"
"ABCB4"
"CD79B"
"PGLYRP1"
"MMP25"
"PAX7"
"GIPR"
"CD4"
"ZBTB32"
"CD22"
"ALOX5"
"CD6"
"MARCO"
"BIRC3"
"DAPK2"
"STAP1"
"RAB27B"
"ADAM28"
"BARX2"
"TNFRSF17"
"FOXP3"
"TNIP3"
"RRP12"
"MXD1"
"SPAG4"
"ST3GAL6"
"CHI3L2"
"DGKA"
"RASGRP2"
"CLEC2D"
"TRIB2"
"EPN2"
"FCGR2B"
"ACAP1"
"MAP3K13"
"TBX21"
"NOX3"
"SLC12A1"
"TXK"
"TTC38"
"SEC31B"
"TRAF4"
"GPC4"
"IL4R"
"TYR"
"CST7"
"LAMP3"
"P2RY10"
"PKD2L2"
"SP140"
"TCF7"
"IL12RB2"
"P2RX5"
"ZNF324"
"HAL"
"FCN1"
"ORC1"
"NME8"
"ACHE"
"SIGLEC1"
"SIRPG"
"LAG3"
"RGS1"
"FLT3LG"
"CD209"
"IL5RA"
"CMA1"
"VNN3"
"PDE6C"
"TREM2"
"CRISP3"
"OSM"
"GGT5"
"PIK3IP1"
"CRYBB1"
"DEPDC5"
"GRAP2"
"UPK3A"
"IL2RB"
"CTSG"
"GZMH"
"GZMB"
"TCL1A"
"MMP9"
"CD40"
"ANGPT4"
"HCK"
"BPI"
"TLR8"
"RENBP"
"CD40LG"
"ACP5"
"CCL22"
"CCL17"
"SMPD3"
"MEFV"
"AQP9"
"ATP8B4"
"TGM5"
"FZD3"
"IL7"
"MAP4K1"
"CD37"
"FCER2"
"CLC"
"EBI3"
"CD79A"
"NKG7"
"CD33"
"MAST1"
"CDK6"
"HOXA1"
"RASSF4"
"SPOCK2"
"P2RX1"
"CCL7"
"CCL8"
"CCL1"
"DHX58"
"BST1"
"CRTAM"
"MS4A6A"
"SLC15A3"
"CD5"
"PPFIBP1"
"CD69"
"BCL7A"
"CYP27B1"
"WNT5B"
"IL26"
"IFNG"
"ST8SIA1"
"CLEC4A"
"KLRB1"
"FRK"
"MAK"
"MAN1A1"
"IL17A"
"BACH2"
"TREML2"
"VNN1"
"VNN2"
"CCR6"
"LY86"
"MEP1A"
"GZMK"
"ITK"
"IL12B"
"BTNL8"
"IL4"
"IL5"
"CD86"
"RRP9"
"IL1A"
"CCL20"
"ZAP70"
"GNLY"
"IL1RL1"
"IL18R1"
"IL18RAP"
"PASK"
"QPCT"
"KYNU"
"RALGPS2"
"NCF2"
"AMPD1"
"CD2"
"ETV3"
"SLAMF1"
"CD160"
"CR2"
"FASLG"
"RCAN3"
"C1orf54"
"LRMP"
"MYB"
"CCND2"
"TRPM6"
"NR4A3"
"CSF3R"
"FLVCR2"
"CD80"
"CCR2"
"TMEM156"
"CD244"
"LY9"
"EGR2"
"BHLHE41"
"NFE2"
"TNFAIP6"
"FAM124B"
"ZBP1"
"CEACAM8"
"TREM1"
"GPR18"
"TMEM255A"
"PTGER2"
"KIR2DL1"
"IL1B"
"CD70"
"TNFSF14"
"FOSB"
"BFSP1"
"FFAR2"
"CCR7"
"FRMD8"
"SSX1"
"CFP"
"PLEKHG3"
"RGS13"
"BCL11B"
"STEAP4"
"VPREB3"
"APOL3"
"APOBEC3A"
"ARHGAP22"
"SERGEF"
"CD68"
"TEP1"
"TRPM4"
"NPAS1"
"SMPDL3B"
"SLC7A10"
"LILRB2"
"IDO1"
"CLEC10A"
"FCRL2"
"CHI3L1"
"ADAMDEC1"
"CD180"
"RSAD2"
"IL2RA"
"KLRD1"
"DSC1"
"C5AR2"
"ETS1"
"PRR5L"
"NMBR"
"TEC"
"FBXL8"
"NPL"
"HTR2B"
"CYP27A1"
"VILL"
"BLK"
"ST6GALNAC4"
"SIT1"
"CD72"
"TLR2"
"ARRB1"
"SLCO5A1"
"CASP5"
"PAQR5"
"IFI44L"
"LHCGR"
"IL21"
"CXCL9"
"BMP2K"
"LEF1"
"KLRG1"
"CD27"
"GPR65"
"HDC"
"BCL2A1"
"IGSF6"
"IRF8"
"SKAP1"
"ASGR1"
"TNFRSF11A"
"SIK1"
"REN"
"PTPRG"
"PLA1A"
"EAF2"
"GZMA"
"IL9"
"PLA2G7"
"CREB5"
"EPHA1"
"CHST7"
"CXorf57"
"CDHR1"
"MS4A3"
"PLCH2"
"MS4A2"
"KLRF1"
"HNMT"
"CCDC102B"
"ABCB9"
"FRMD4A"
"PDK1"
"ZFP36L2"
"RASGRP3"
"HHEX"
"BANK1"
"CD96"
"CD8A"
"CLCA3P"
"CDH12"
"WNT7A"
"SKA1"
"SAMSN1"
"CLIC2"
"ADAMTS3"
"CXCL13"
"MS4A1"
"BRAF"
"DUSP2"
"CD1D"
"CD1A"
"CD1C"
"CD1B"
"CD1E"
"SLAMF8"
"CDA"
"EPB41"
"PADI4"
"ZNF222"
"PTGIR"
"UBASH3A"
"SLC2A6"
"CD3G"
"CXCR5"
"CCR5"
"HK3"
"ALOX15"
"ASGR2"
"NTN3"
"BEND5"
"GFI1"
"NLRP3"
"FCGR3B"
"HPGDS"
"S100A12"
"PBXIP1"
"CXCR1"
"TRAT1"
"MNDA"
"AIM2"
"CTLA4"
"ICOS"
"HESX1"
"CXCL3"
"CXCL5"
"PPBP"
"CPA3"
"CDC25A"
"CAMP"
"MAP9"
"FAM198B"
"IL3"
"CSF2"
"SEPT8"
"ANKRD55"
"DEFA4"
"DCSTAMP"
"NIPSNAP3B"
"TSHR"
"MBL2"
"RPL10L"
"PLEKHF1"
"GALR1"
"NOD2"
"DPEP2"
"CD3D"
"LAIR2"
"CD300A"
"NAALADL1"
